Year,Observed,Trend,Seasonal,Residual
1993,10.902805899143672,9.837548975848764,0.08498530932552348,0.9802716139693852
1994,9.741644613050076,9.81809555500173,-0.08498530932552348,0.008534367373869561
1995,8.886287094763093,9.798642134154703,0.08498530932552348,-0.9973403487171333
1996,11.680349734042553,10.779737698008663,-0.08498530932552348,0.9855973453594129
1997,10.871964229186453,10.67276229933945,0.08498530932552348,0.11421662052147988
1998,9.26677100494234,9.887678710622232,-0.08498530932552348,-0.5359223963543687
1999,10.145208603417798,10.042386798367824,0.08498530932552348,0.01783649572445037
2000,10.612358981693363,10.856935380426764,-0.08498530932552348,-0.15959108940787695
2001,12.05781495490253,12.068489532981324,0.08498530932552348,-0.09565988740431705
2002,13.545969240426867,13.455261586551007,-0.08498530932552348,0.1756929632013837
2003,14.671292910447761,14.57974978870394,0.08498530932552348,0.006557812418298364
2004,15.430444093493367,14.549941607416248,-0.08498530932552348,0.9654877954026433
2005,12.667585332230495,12.579320441145907,0.08498530932552348,0.003279581759064537
2006,9.55166700662927,10.504941435323765,-0.08498530932552348,-0.8682891193689719
2007,10.24884639580603,9.92124092398177,0.08498530932552348,0.24262016249873633
2008,9.63560389768575,10.214699124247728,-0.08498530932552348,-0.49410991723645514
2009,11.338742305813385,11.023196622109388,0.08498530932552348,0.23056037437847324
2010,11.779697979125029,11.299677397492683,-0.08498530932552348,0.565005890957869
2011,10.300571325907296,11.033179085435961,0.08498530932552348,-0.817593068854189
2012,11.751875710804224,12.244680790037163,-0.08498530932552348,-0.40781976990741553
2013,15.174400412632915,14.216854629015788,0.08498530932552348,0.8725604742916029
2014,14.766741979993101,14.034298949420137,-0.08498530932552348,0.8174283398984881
2015,11.429311425061426,12.64843702685365,0.08498530932552348,-1.3041109111177467
2016,12.968383277298642,13.56159591553147,-0.08498530932552348,-0.5082273289073043
2017,16.880305682467164,15.232000428273,0.08498530932552348,1.5633199448686397
2018,14.199007070859034,14.396614196299943,-0.08498530932552348,-0.11262181611538538
2019,12.308136961014544,12.622516199088986,0.08498530932552348,-0.3993645473999661
2020,11.674783803467824,11.509641302045342,-0.08498530932552348,0.25012781074800516
2021,10.38086064023118,10.074460046818151,0.08498530932552348,0.22141528408750547
2022,7.861335103342422,8.760125617232601,-0.08498530932552348,-0.8138052045646558
2023,8.936971622014383,8.896197693436678,0.08498530932552348,-0.04421138074781836
2024,9.849512426375522,9.424113603331035,-0.08498530932552348,0.5103841323700107
2025,9.060457938558715,9.16834184584483,0.08498530932552348,-0.19286921661163922
